year,file,status,tier_prelim,out_file,raw_time_min,raw_time_max,n_times_before_cutoff,time_ok,whole_hour_rows,unique_time_rows,step_1h_count,step_1d_count,hourly_step_frac,daily_step_frac,median_step,expected_hours,pm25_nonnull,pm25_na,pm25_na_frac,coverage_frac_of_year,pm25_negative,nonnull_run_count,longest_nonnull_run_hours,longest_nonnull_run_days,median_nonnull_run_hours,note
2022,outside_40.csv,OK,Tier C,analysis/data_processed/outside_hourly_clean_yearscan/2022/outside_40_2022_hourly.csv,2021-01-01 00:00:00+07:00,2023-12-31 00:00:00+07:00,,1251.0,1251.0,1251.0,407.0,841.0,0.3256,0.6728,1 days 00:00:00,8760.0,362.0,8398.0,0.958675799086758,0.04132420091324201,1.0,362.0,1.0,0.041666666666666664,1.0,
2023,outside_40.csv,OK,Tier C,analysis/data_processed/outside_hourly_clean_yearscan/2023/outside_40_2023_hourly.csv,2021-01-01 00:00:00+07:00,2023-12-31 00:00:00+07:00,,1251.0,1251.0,1251.0,407.0,841.0,0.3256,0.6728,1 days 00:00:00,8760.0,311.0,8449.0,0.9644977168949772,0.03550228310502283,3.0,120.0,192.0,8.0,1.0,
2021,outside_41.csv,OK,Tier C,analysis/data_processed/outside_hourly_clean_yearscan/2021/outside_41_2021_hourly.csv,2021-01-01 00:00:00+07:00,2023-12-31 00:00:00+07:00,,1251.0,1251.0,1251.0,405.0,841.0,0.324,0.6728,1 days 00:00:00,8760.0,572.0,8188.0,0.9347031963470319,0.06529680365296804,0.0,356.0,217.0,9.041666666666666,1.0,
2022,outside_41.csv,OK,Tier C,analysis/data_processed/outside_hourly_clean_yearscan/2022/outside_41_2022_hourly.csv,2021-01-01 00:00:00+07:00,2023-12-31 00:00:00+07:00,,1251.0,1251.0,1251.0,405.0,841.0,0.324,0.6728,1 days 00:00:00,8760.0,363.0,8397.0,0.9585616438356165,0.041438356164383565,2.0,363.0,1.0,0.041666666666666664,1.0,
2023,outside_41.csv,OK,Tier C,analysis/data_processed/outside_hourly_clean_yearscan/2023/outside_41_2023_hourly.csv,2021-01-01 00:00:00+07:00,2023-12-31 00:00:00+07:00,,1251.0,1251.0,1251.0,405.0,841.0,0.324,0.6728,1 days 00:00:00,8760.0,312.0,8448.0,0.9643835616438357,0.03561643835616438,0.0,123.0,167.0,6.958333333333333,1.0,
2021,outside_46.csv,OK,Tier C,analysis/data_processed/outside_hourly_clean_yearscan/2021/outside_46_2021_hourly.csv,2021-01-01 00:00:00+07:00,2023-12-31 00:00:00+07:00,,1251.0,1251.0,1251.0,405.0,841.0,0.324,0.6728,1 days 00:00:00,8760.0,572.0,8188.0,0.9347031963470319,0.06529680365296804,0.0,356.0,217.0,9.041666666666666,1.0,
2022,outside_46.csv,OK,Tier C,analysis/data_processed/outside_hourly_clean_yearscan/2022/outside_46_2022_hourly.csv,2021-01-01 00:00:00+07:00,2023-12-31 00:00:00+07:00,,1251.0,1251.0,1251.0,405.0,841.0,0.324,0.6728,1 days 00:00:00,8760.0,362.0,8398.0,0.958675799086758,0.04132420091324201,2.0,362.0,1.0,0.041666666666666664,1.0,
2023,outside_46.csv,OK,Tier C,analysis/data_processed/outside_hourly_clean_yearscan/2023/outside_46_2023_hourly.csv,2021-01-01 00:00:00+07:00,2023-12-31 00:00:00+07:00,,1251.0,1251.0,1251.0,405.0,841.0,0.324,0.6728,1 days 00:00:00,8760.0,313.0,8447.0,0.9642694063926941,0.03573059360730593,0.0,124.0,167.0,6.958333333333333,1.0,
2021,outside_47.csv,NO_DATA_IN_WINDOW,,,2022-03-01 00:00:00+07:00,2023-12-31 00:00:00+07:00,,3505.0,3505.0,3505.0,3166.0,333.0,0.9035388127853882,0.09503424657534247,0 days 01:00:00,,,,,,,,,,,
2022,outside_47.csv,OK,Tier C,analysis/data_processed/outside_hourly_clean_yearscan/2022/outside_47_2022_hourly.csv,2022-03-01 00:00:00+07:00,2023-12-31 00:00:00+07:00,,3505.0,3505.0,3505.0,3166.0,333.0,0.9035388127853882,0.09503424657534247,0 days 01:00:00,8760.0,123.0,8637.0,0.9859589041095891,0.014041095890410958,0.0,123.0,1.0,0.041666666666666664,1.0,
2023,outside_47.csv,OK,Tier C,analysis/data_processed/outside_hourly_clean_yearscan/2023/outside_47_2023_hourly.csv,2022-03-01 00:00:00+07:00,2023-12-31 00:00:00+07:00,,3505.0,3505.0,3505.0,3166.0,333.0,0.9035388127853882,0.09503424657534247,0 days 01:00:00,8760.0,3355.0,5405.0,0.6170091324200914,0.3829908675799087,0.0,217.0,1969.0,82.04166666666667,1.0,
